model_type;id;input_id;sequence_size;hidden_size;num_of_layers;step_size;input_size;output_size
RNN;153;1;50;64;1;5;20;1
RNN;154;1;100;64;1;5;20;1
RNN;155;1;150;64;1;5;20;1
RNN;156;1;200;64;1;5;20;1
RNN;157;1;50;96;1;5;20;1
RNN;158;1;100;96;1;5;20;1
RNN;159;1;150;96;1;5;20;1
RNN;160;1;200;96;1;5;20;1
RNN;161;1;50;128;1;5;20;1
RNN;162;1;100;128;1;5;20;1
RNN;163;1;150;128;1;5;20;1
RNN;164;1;200;128;1;5;20;1
RNN;165;1;50;192;1;5;20;1
RNN;166;1;100;192;1;5;20;1
RNN;167;1;150;192;1;5;20;1
RNN;168;1;200;192;1;5;20;1
RNN;169;1;50;64;2;5;20;1
RNN;170;1;100;64;2;5;20;1
RNN;171;1;150;64;2;5;20;1
RNN;172;1;200;64;2;5;20;1
RNN;173;1;50;96;2;5;20;1
RNN;174;1;100;96;2;5;20;1
RNN;175;1;150;96;2;5;20;1
RNN;176;1;200;96;2;5;20;1
RNN;177;1;50;128;2;5;20;1
RNN;178;1;100;128;2;5;20;1
RNN;179;1;150;128;2;5;20;1
RNN;180;1;200;128;2;5;20;1
RNN;181;1;50;192;2;5;20;1
RNN;182;1;100;192;2;5;20;1
RNN;183;1;150;192;2;5;20;1
RNN;184;1;200;192;2;5;20;1
